"Push Date","Push Time (seconds)","Commit Hash","What Was Updated","Things Pushed (Files Affected)","Changes Pushed (Technical Summary)","Push Execution Result"
"2026-07-01","00:01:41","157ab69","Objectives Panel & Image Path References","ObjectivePanel.tsx;SimulationLayout.tsx;SimulationPlay.tsx;For_Developers.md;architecture.md;src/Images/SeaT Captain/*","Made the objectives sidebar panel retractable with a floating Target button, added header X collapse button, integrated ESC key keyboard listener to trigger retraction, and updated Captain welcome asset paths.","Success"
"2026-06-30","23:19:22","b12fe34","Vercel SPA Routing Configuration","vercel.json","Added routing rules and redirects in vercel.json to map all sub-routes to index.html, resolving Vercel 404 page-refresh issues for client-side React Router.","Success"
"2026-06-30","23:15:15","d138172","Build Engine Runtime Setup","package.json","Added Node.js engine compatibility checks (>=20.0.0) in package.json to enforce modern runtime compiling on Vercel.","Success"
"2026-06-30","23:08:09","f6e413f","Repository Gitignore Rules & Project Manuals",".gitignore;DoNotPush_InfoOnly/*","Commented out the local reference bypass in .gitignore to track, commit, and push all project checklists, specs, and design resources to origin/main.","Success"
"2026-06-30","23:03:55","41959ee","Simulator Frame Layout & Accessibility close hooks","SimulationPlay.tsx;SimulationLayout.tsx;SceneContainer.tsx;MissionHeader.tsx;ObjectivePanel.tsx;MissionFooter.tsx;DialoguePanel.tsx;Feedback.tsx;Header.tsx;AppLayout.tsx;welcome.png","Refactored active simulator route to render inside a viewport-containment 16:9 canvas card to prevent scrollbars, made all controls absolute overlays, and added Escape close handlers for pause, logbooks, and clipboards.","Success"
"2026-06-29","22:42:55","d409c87","Authentication Flows & Briefing Setup","AuthContext.tsx;SimulationPlay.tsx;InitializationScreen.tsx;LoginPage.tsx;OffboardingScreen.tsx","Added Captain's welcoming briefing layout prior to simulator launch, integrated dynamic user profiles, added sign-out offboarding port-break animation route (runs 5-8 seconds), and redirect scripts.","Success"
"2026-07-01","00:24:40","b7bac56","Documentation and Push Log","README.md;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Updated README with project theme, appended new push entry to markdown and CSV logs.","Success"
"2026-07-09","22:20:48","867e19a","Vercel routing cleanUrls removal and developer notes","vercel.json;DoNotPush_InfoOnly/Global Development Requirement Re.txt;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Removed cleanUrls parameter from vercel.json and added guidelines for developer files and icons.","Success"
"2026-07-09","22:52:58","fb474aa","Repository .gitignore configuration update",".gitignore;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Removed node_modules tracking exclusion rules from .gitignore config files.","Success"
"2026-07-09","22:55:57","fbfdc5e","Repository .gitignore configuration restore",".gitignore;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Restored node_modules tracking exclusion rules to .gitignore config files.","Success"
"2026-07-09","23:21:47","1847469","Landing page background styling enhancement","src/pages/landing/LandingPage.tsx;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Replaced multi-section solid background blocks with a single smooth linear gradient and transparent sections.","Success"
"2026-07-09","23:26:08","05cedda","Landing page background grid consistency","src/pages/landing/LandingPage.tsx;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Moved animated background grid overlay from HeroSection to the root container of the LandingPage to display consistently across all sections.","Success"
"2026-07-09","23:32:01","6843d43","Landing page headline wrapping consistency","src/pages/landing/LandingPage.tsx;DoNotPush_InfoOnly/Production Push Info.md;DoNotPush_InfoOnly/Production Push Info.csv","Wrapped Maritime Training together on a lower line for consistency across all screen viewports.","Success"
"2026-07-10","00:14:34","dd5706a","Landing page visual & text updates","index.html;src/contexts/AuthContext.tsx;src/pages/landing/InitializationScreen.tsx;src/pages/landing/LandingPage.tsx;src/pages/landing/LoginPage.tsx;src/simulation/components/SceneContainer.tsx;src/simulation/layouts/SimulationLayout.tsx;src/simulation/routes/SimulationHub.tsx;src/simulation/routes/SimulationResults.tsx","Swapped MLC card icon to Settings, hid Team section, aligned comparison columns, removed vertical timeline line, unified Sign In button styles, removed em-dashes, and updated version years to 2026.","Success"
"2026-07-14","12:05:22","afe7bf7","Port State Control (PSC) Theory Briefing and Assessment","src/App.tsx;src/contexts/AppContext.tsx;src/mock/db.ts;src/pages/Home.tsx;src/pages/Modules.tsx;src/simulation/index.ts;src/simulation/layouts/DebriefLayout.tsx;src/simulation/routes/SimulationHub.tsx;src/simulation/routes/SimulationPlay.tsx;src/simulation/routes/index.ts;src/simulation/types/index.ts;src/simulation/config/briefingConfig.ts;src/simulation/routes/MissionBriefingEngine.tsx;src/simulation/services/BlockRegistry.ts","Implemented the PSC Theory Briefing module, mapping Module IDs to Mission IDs, guiding users through structured briefing sections, tracking assessment progress and scores, and forcing theory completion before launching the simulator.","Success"
"2026-07-14","21:30:37","c2667b5","Sidebar layout fixes, scroll locking, and document alignments","src/components/layout/AppLayout.tsx;src/components/layout/MainContainer.tsx;STRUCTURE.md;DEVELOPMENT_STANDARDS.md;.agents/AGENTS.md","Resolved navigation panel floating and page centering layout issue by removing max-width constraints on the layout container, locked page-level scrollbars and enabled scrolling in the main content container, and aligned the sidebar navigation to the far-left edge of the page.","Success"
